Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
10-01-2012,ASIANPAINT,EQ,2675.75,2688.55,2695,2645,2650,2656.55,2672.12,33804,9.03284E+12,3888,21366,0.6321
11-01-2012,ASIANPAINT,EQ,2656.55,2688.55,2729.9,2640,2720,2720.3,2699.33,111129,2.99973E+13,7980,81849,0.7365
12-01-2012,ASIANPAINT,EQ,2720.3,2738.6,2798.3,2720.3,2731.6,2736.3,2739.76,67669,1.85397E+13,4119,47961,0.7088
13-01-2012,ASIANPAINT,EQ,2736.3,2718.05,2797.95,2718.05,2761.2,2772.05,2743.61,57068,1.56572E+13,4518,37921,0.6645000000000001
16-01-2012,ASIANPAINT,EQ,2772.05,2763,2779,2736.2,2740.1,2748.55,2750.62,17923,4.92994E+12,1969,8970,0.5005
17-01-2012,ASIANPAINT,EQ,2748.55,2730.9,2775,2722,2730,2735.6,2746.71,52873,14522693694999.998,2608,39153,0.7404999999999999
18-01-2012,ASIANPAINT,EQ,2735.6,2749.5,2756,2710,2717,2723.8,2727.74,20543,5.6036E+12,3025,13215,0.6433
19-01-2012,ASIANPAINT,EQ,2723.8,2766.75,2766.75,2715.05,2735,2732.9,2733.22,19114,5.22427E+12,4688,8714,0.4559
20-01-2012,ASIANPAINT,EQ,2732.9,2733,2750,2710,2717.2,2732.45,2731.49,66094,1.80535E+13,4729,52313,0.7915000000000001
23-01-2012,ASIANPAINT,EQ,2732.45,2760.4,2834.75,2750,2822.4,2818.75,2815.05,110689,3.11595E+13,14186,61515,0.5557
24-01-2012,ASIANPAINT,EQ,2818.75,2835,2858,2770,2810,2804.3,2829.34,111409,31521417335000.004,12112,66902,0.6005
25-01-2012,ASIANPAINT,EQ,2804.3,2828.8,2863.05,2795.35,2860,2848.45,2840.62,286841,8.14805E+13,19498,209411,0.7301000000000001
27-01-2012,ASIANPAINT,EQ,2848.45,2875,2949,2875,2930,2916.35,2917.77,187051,54577121779999.99,11050,159836,0.8545
30-01-2012,ASIANPAINT,EQ,2916.35,2919.7,3015.05,2919.6,2980.2,2988.1,2989.51,151585,4.53165E+13,10186,103500,0.6828000000000001
31-01-2012,ASIANPAINT,EQ,2988.1,2924.1,3040,2924.1,2975.15,2995.3,2991.01,63876,1.91054E+13,8429,35955,0.5629
01-02-2012,ASIANPAINT,EQ,2995.3,3030,3030,2913,2935,2935.2,2933.5,146397,4.29455E+13,9675,111730,0.7632
02-02-2012,ASIANPAINT,EQ,2935.2,2970,2994,2940,2969.9,2968,2966.62,89814,2.66444E+13,6599,70512,0.7851
03-02-2012,ASIANPAINT,EQ,2968,2969.85,2970,2900,2907,2950.3,2956.36,68560,2.02688E+13,6078,53071,0.7741
06-02-2012,ASIANPAINT,EQ,2950.3,2925.05,3015.5,2925,2995,2993.6,2995.76,113765,3.40812E+13,7256,85314,0.7499
07-02-2012,ASIANPAINT,EQ,2993.6,2995,3007.3,2947.05,2947.25,2958.95,2994.02,66817,2.00051E+13,7092,49417,0.7395999999999999
08-02-2012,ASIANPAINT,EQ,2958.95,2940.15,3015,2940.15,3000,2970.65,2966.11,258261,7.6603E+13,7350,237446,0.9194
09-02-2012,ASIANPAINT,EQ,2970.65,3010.4,3065,2972.05,3063.95,3058.2,3045.8,135750,4.13468E+13,10476,96227,0.7089
10-02-2012,ASIANPAINT,EQ,3058.2,3065,3128,3065,3100,3099.45,3104.85,139190,4.32165E+13,13381,94139,0.6763
13-02-2012,ASIANPAINT,EQ,3099.45,3044,3100,3033,3040.1,3054.45,3057.63,32826,1.0037E+13,4139,19469,0.5931000000000001
14-02-2012,ASIANPAINT,EQ,3054.45,3054.45,3069.8,3020.05,3021.1,3027.2,3044.27,40989,1.24782E+13,4441,25471,0.6214000000000001
15-02-2012,ASIANPAINT,EQ,3027.2,3034.9,3104.95,3018,3039,3031.4,3057.6,46660,1.42668E+13,4536,25734,0.5515
16-02-2012,ASIANPAINT,EQ,3031.4,3040,3084.9,3025.1,3068.05,3068.2,3057.65,99192,3.03295E+13,5691,74509,0.7512000000000001
17-02-2012,ASIANPAINT,EQ,3068.2,3080,3114,3045.05,3050,3054.45,3065.97,99244,3.04279E+13,8807,66817,0.6733
21-02-2012,ASIANPAINT,EQ,3054.45,3034.45,3078.8,3027.95,3049.75,3045.4,3052.27,30183,9.21266E+12,3157,15936,0.528
22-02-2012,ASIANPAINT,EQ,3045.4,3045.4,3110,3045,3062,3074.25,3072.28,98607,3.02948E+13,10673,62564,0.6345000000000001
23-02-2012,ASIANPAINT,EQ,3074.25,3052.4,3109.5,3020,3044,3059.35,3077.39,79905,2.45899E+13,11061,47805,0.5982999999999999
24-02-2012,ASIANPAINT,EQ,3059.35,3063,3087,3043.55,3050.05,3067.1,3070.88,53013,1.62797E+13,5914,34219,0.6455
27-02-2012,ASIANPAINT,EQ,3067.1,3050,3115,3042.4,3080.05,3097.3,3098.38,225062,69732837204999.99,12418,179884,0.7993000000000001
28-02-2012,ASIANPAINT,EQ,3097.3,3125,3191.3,3090,3150,3158.65,3160.08,162388,5.13159E+13,12547,119257,0.7343999999999999
29-02-2012,ASIANPAINT,EQ,3158.65,3150,3200,3141,3170,3170.55,3168.56,115425,3.65731E+13,9090,82987,0.7190000000000001
01-03-2012,ASIANPAINT,EQ,3170.55,3170,3190,3125,3150.5,3149.65,3148.22,70751,2.22739E+13,4781,54214,0.7663
02-03-2012,ASIANPAINT,EQ,3149.65,3163.9,3189.9,3126.1,3155,3158.75,3158.78,183975,58113646004999.99,5181,159326,0.866
03-03-2012,ASIANPAINT,EQ,3158.75,3165,3165,3125.45,3139,3133.95,3134.15,2280,7.14587E+11,168,1791,0.7855
05-03-2012,ASIANPAINT,EQ,3133.95,3148.65,3249.8,3142.9,3223,3234.7,3209.64,130196,4.17883E+13,12499,74714,0.5739
06-03-2012,ASIANPAINT,EQ,3234.7,3238.95,3250,3140.1,3160,3160.45,3181.56,71104,2.26222E+13,7475,38960,0.5479
07-03-2012,ASIANPAINT,EQ,3160.45,3135.2,3159.75,3056,3105,3091.75,3092.4,43077,1.33211E+13,5407,16070,0.37310000000000004
09-03-2012,ASIANPAINT,EQ,3091.75,3120,3199,3109.6,3170,3171.5,3173.12,139787,4.43561E+13,5896,120624,0.8629000000000001
12-03-2012,ASIANPAINT,EQ,3171.5,3125.05,3212,3125.05,3160,3160.25,3180.08,138088,4.39131E+13,3733,122577,0.8876999999999999
13-03-2012,ASIANPAINT,EQ,3160.25,3150.05,3208,3150.05,3190,3186.65,3182.83,14549,4.6307E+12,1674,7623,0.524
14-03-2012,ASIANPAINT,EQ,3186.65,3205,3239,3191.1,3200,3204.2,3214.81,32334,1.03948E+13,5010,15907,0.49200000000000005
15-03-2012,ASIANPAINT,EQ,3204.2,3225,3340,3200.05,3208.95,3214.95,3252.36,61197,1.99035E+13,7261,26047,0.42560000000000003
16-03-2012,ASIANPAINT,EQ,3214.95,3250,3250,3175.1,3210,3210.1,3214.45,244248,7.85122E+13,5302,203161,0.8318000000000001
19-03-2012,ASIANPAINT,EQ,3210.1,3230,3240,3054.1,3070,3073.15,3099.2,83221,2.57918E+13,10024,51803,0.6225
20-03-2012,ASIANPAINT,EQ,3073.15,3071,3071,3001,3020,3015.7,3022.64,262465,7.93338E+13,11190,223547,0.8517
21-03-2012,ASIANPAINT,EQ,3015.7,3023.85,3099,3020,3078,3062.85,3063.94,99404,3.04567E+13,5043,75390,0.7584000000000001
22-03-2012,ASIANPAINT,EQ,3062.85,3070,3109.9,3060,3080,3071.25,3085.12,57401,1.77089E+13,6653,30512,0.5316
23-03-2012,ASIANPAINT,EQ,3071.25,3077.1,3145,3064.45,3086.35,3111.6,3095.33,70407,2.17933E+13,3340,52288,0.7427
26-03-2012,ASIANPAINT,EQ,3111.6,3109.95,3140,3046,3060.15,3060.7,3075.39,31630,9.72747E+12,7466,14819,0.4685
27-03-2012,ASIANPAINT,EQ,3060.7,3060.7,3123,3041.1,3100,3096.65,3089.5,81101,2.50561E+13,4717,61817,0.7622
28-03-2012,ASIANPAINT,EQ,3096.65,3075.4,3191,3075.4,3103,3104.45,3133.55,86559,2.71237E+13,7832,50800,0.5869
29-03-2012,ASIANPAINT,EQ,3104.45,3100,3249,3050.2,3220,3188.5,3158.24,99176,31322150860000.004,10801,61637,0.6215
30-03-2012,ASIANPAINT,EQ,3188.5,3200.2,3255,3199.95,3200,3242,3246.37,129264,4.19638E+13,14170,98950,0.7655
02-04-2012,ASIANPAINT,EQ,3242,3244.4,3295,3204,3260.2,3263.4,3266.11,38364,1.25301E+13,4010,15547,0.40520000000000006
03-04-2012,ASIANPAINT,EQ,3263.4,3271.35,3375,3270,3370,3356.4,3334.71,166110,5.53928E+13,9361,120325,0.7244
04-04-2012,ASIANPAINT,EQ,3356.4,3300,3399.9,3293.1,3304,3323.5,3356.76,76114,2.55496E+13,8032,28358,0.3726
09-04-2012,ASIANPAINT,EQ,3323.5,3319.95,3320,3270,3280,3279.05,3281.89,44574,14628707719999.998,4025,30256,0.6788
10-04-2012,ASIANPAINT,EQ,3279.05,3285.1,3292,3245,3254.9,3256.55,3271.85,52205,17080715180000.002,5277,31196,0.5976
11-04-2012,ASIANPAINT,EQ,3256.55,3248.95,3259.75,3222.05,3236.05,3236.85,3241.98,56506,1.83192E+13,6509,41512,0.7345999999999999
12-04-2012,ASIANPAINT,EQ,3236.85,3236.85,3288.65,3223.2,3256,3255.65,3250.6,46598,1.51471E+13,6872,26056,0.5592
13-04-2012,ASIANPAINT,EQ,3255.65,3270,3315,3254.05,3305,3301.1,3289.91,59674,1.96322E+13,5617,40846,0.6845
16-04-2012,ASIANPAINT,EQ,3301.1,3320,3367.9,3305,3363.8,3354.55,3343.33,50518,16889850844999.998,3799,34776,0.6884
17-04-2012,ASIANPAINT,EQ,3354.55,3354,3375,3310.15,3330,3328.25,3353.24,38040,1.27557E+13,5666,21191,0.5571
18-04-2012,ASIANPAINT,EQ,3328.25,3349.9,3350,3290,3314,3311.15,3313.65,24767,8206915565000.001,3377,12622,0.5096
